t,x,y,vx,vy
0.000,3.864E-4,1.932E-4,,
0.033,-3.864E-4,5.796E-4,-5.796E-3,1.739E-2
0.067,5.551E-17,1.352E-3,5.796E-3,0.000
0.100,5.551E-17,5.796E-4,5.796E-3,0.000
0.133,3.864E-4,1.352E-3,1.739E-2,1.739E-2
0.167,1.159E-3,1.739E-3,-5.796E-3,5.796E-3
0.200,5.551E-17,1.739E-3,1.159E-2,1.159E-2
0.234,1.932E-3,2.512E-3,1.159E-2,0.000
0.267,7.728E-4,1.739E-3,-2.318E-2,-1.739E-2
0.300,3.864E-4,1.352E-3,-1.159E-2,5.796E-3
0.334,5.551E-17,2.125E-3,5.796E-3,2.318E-2
0.367,7.728E-4,2.898E-3,1.159E-2,5.796E-3
0.400,7.728E-4,2.512E-3,-5.796E-3,-1.739E-2
0.434,3.864E-4,1.739E-3,-2.318E-2,-5.796E-3
0.467,-7.728E-4,2.125E-3,-1.739E-2,4.637E-2
0.500,-7.728E-4,4.830E-3,0.000,2.898E-2
0.534,-7.728E-4,4.057E-3,-5.307E-3,-1.810E-3
0.567,-1.127E-3,4.709E-3,-1.086E-2,2.165E-2
0.601,-1.497E-3,5.501E-3,-9.988E-3,2.682E-2
0.634,-1.792E-3,6.497E-3,-9.103E-3,2.770E-2
0.667,-2.104E-3,7.347E-3,-5.091E-3,2.439E-2
0.701,-2.132E-3,8.123E-3,-8.385E-5,2.273E-2
0.734,-2.109E-3,8.863E-3,-3.630E-4,1.845E-2
0.767,-2.156E-3,9.353E-3,-1.779E-3,1.391E-2
0.801,-2.228E-3,9.790E-3,-4.261E-3,1.529E-2
0.834,-2.440E-3,1.037E-2,-6.828E-3,2.058E-2
0.867,-2.683E-3,1.116E-2,-4.873E-3,2.629E-2
0.901,-2.765E-3,1.212E-2,-3.177E-3,2.781E-2
0.934,-2.895E-3,1.302E-2,-3.292E-3,2.679E-2
0.968,-2.990E-3,1.396E-2,-2.768E-3,2.783E-2
1.001,-3.084E-3,1.492E-2,-2.486E-3,3.110E-2
1.034,-3.156E-3,1.603E-2,-2.660E-3,3.270E-2
1.068,-3.261E-3,1.710E-2,-1.769E-3,3.283E-2
1.101,-3.274E-3,1.822E-2,-2.289E-3,2.797E-2
1.134,-3.414E-3,1.896E-2,-5.220E-3,2.273E-2
1.168,-3.622E-3,1.973E-2,-4.303E-3,2.584E-2
1.201,-3.701E-3,2.069E-2,-1.685E-3,2.833E-2
